sex,year,Country,country_n,vr_deaths,est_deaths,population,reg_cdr,u5mr,lnu5mr,u5mr_se_l,u5mr_se_u,u5compl,pct65,Obs_compl,logitcompl,Pred_compl_m_1,Pred_compl_m_2
3,1993,Albania,1,16593,17076,3224302,5.14623,0.0401703,-3.214628,0.0371447,0.043442,0.874693,0.059607,0.971714,3.536695,0.9199347,0.8734129
3,1994,Albania,1,14942,16987.4,3182704,4.69475,0.0393192,-3.236042,0.0364086,0.0424626,0.846842,0.061715,0.879591,1.988559,0.895503,0.835252
3,1995,Albania,1,16016,16882,3149160,5.0858,0.0369034,-3.299452,0.0340636,0.0399799,0.818506,0.064029,0.948703,2.917468,0.9078982,0.8684013
3,1997,Albania,1,16159,18940.5,3126808,5.16789,0.0348483,-3.356752,0.0319658,0.0379906,0.760813,0.06614,0.853146,1.759488,0.900077,0.8733753
3,1998,Albania,1,16452,17208.5,3129244,5.2575,0.0302217,-3.499194,0.0277027,0.0329698,0.731671,0.067372,0.956038,3.079466,0.9087512,0.8957334
3,1999,Albania,1,15283,17460.1,3133162,4.87782,0.028663,-3.552148,0.0261801,0.0313814,0.70247,0.068875,0.875308,1.948727,0.889043,0.8752701
3,2000,Albania,1,16387,17790.5,3134384,5.22814,0.0274656,-3.594821,0.0249666,0.0302148,0.673308,0.070717,0.92111,2.45753,0.8985967,0.8968137
3,2001,Albania,1,15117,18183.1,3130929,4.82828,0.0263345,-3.636874,0.0238226,0.0291114,0.644279,0.073229,0.831377,1.595416,0.8731045,0.8711165
3,2002,Albania,1,16219,18645.1,3125217,5.18972,0.0252465,-3.679067,0.0227185,0.0280558,0.615474,0.076111,0.869881,1.899907,0.8829731,0.8919801
3,2003,Albania,1,17928,19187.6,3116975,5.75173,0.0241296,-3.724318,0.0217124,0.0268158,0.586976,0.079507,0.934354,2.655586,0.8996223,0.9179279
3,2004,Albania,1,17705,19629.5,3103500,5.70485,0.0229743,-3.773378,0.0206112,0.0256083,0.558864,0.083009,0.901957,2.21916,0.8908315,0.9143828
3,2005,Albania,1,17427,19946.9,3084065,5.65066,0.0219413,-3.819383,0.0195097,0.0246761,0.531212,0.086539,0.87367,1.933805,0.88074,0.9099284
3,2006,Albania,1,16935,20137.5,3053618,5.54588,0.0210131,-3.86261,0.0186379,0.0236909,0.504087,0.090502,0.840968,1.665451,0.8663816,0.9016018
3,2007,Albania,1,14528,20331.4,3017796,4.81411,0.0200638,-3.908836,0.0176404,0.0228202,0.47755,0.094567,0.71456,0.9176341,0.8109892,0.8513215
3,2008,Albania,1,16143,20807.3,2981984,5.41351,0.0191395,-3.955999,0.0166593,0.021989,0.451657,0.099161,0.775835,1.24156,0.8380777,0.8869255
